year,state_fips,state_name,total_pop,foreign_born,foreign_born_pct
2013,37,North Carolina,9848060,749426,7.61
2013,38,North Dakota,723393,21107,2.92
2013,39,Ohio,11570808,477337,4.13
2013,40,Oklahoma,3850568,218432,5.67
2013,41,Oregon,3930065,391206,9.95
2013,42,Pennsylvania,12773801,796159,6.23
2013,44,Rhode Island,1051511,135972,12.93
2013,45,South Carolina,4774839,231278,4.84
2013,46,South Dakota,844877,24459,2.89
2013,47,Tennessee,6495978,304801,4.69
2013,48,Texas,26448193,4369271,16.52
2013,50,Vermont,626630,27012,4.31
2013,49,Utah,2900872,236954,8.17
2013,51,Virginia,8260405,948963,11.49
2013,53,Washington,6971406,943664,13.54
2013,54,West Virginia,1854304,26321,1.42
2013,55,Wisconsin,5742713,274687,4.78
2013,56,Wyoming,582658,18029,3.09
2013,72,Puerto Rico,3615086,94028,2.6
2013,01,Alabama,4833722,162226,3.36
2013,02,Alaska,735132,50760,6.9
2013,04,Arizona,6626624,896310,13.53
2013,05,Arkansas,2959373,133888,4.52
2013,06,California,38332521,10311200,26.9
2013,08,Colorado,5268367,500634,9.5
2013,10,Delaware,925749,76768,8.29
2013,11,District of Columbia,646449,92819,14.36
2013,09,Connecticut,3596080,499643,13.89
2013,12,Florida,19552860,3798062,19.42
2013,13,Georgia,9992167,970979,9.72
2013,16,Idaho,1612136,95525,5.93
2013,15,Hawaii,1404054,246464,17.55
2013,17,Illinois,12882135,1807468,14.03
2013,18,Indiana,6570902,314501,4.79
2013,19,Iowa,3090416,149122,4.83
2013,20,Kansas,2893957,198173,6.85
2013,21,Kentucky,4395295,149016,3.39
2013,22,Louisiana,4625470,182559,3.95
2013,23,Maine,1328302,44687,3.36
2013,24,Maryland,5928814,842250,14.21
2013,25,Massachusetts,6692824,1046155,15.63
2013,26,Michigan,9895622,616786,6.23
2013,27,Minnesota,5420380,403514,7.44
2014,01,Alabama,4849377,157356,3.24
2014,02,Alaska,736732,54672,7.42
2014,04,Arizona,6731484,919559,13.66
2014,05,Arkansas,2966369,139997,4.72
2014,06,California,38802500,10512399,27.09
2014,08,Colorado,5355866,538244,10.05
2014,10,Delaware,935614,80300,8.58
2014,11,District of Columbia,658893,91949,13.96
2014,09,Connecticut,3596677,491919,13.68
2014,12,Florida,19893297,3973515,19.97
2014,13,Georgia,10097343,994651,9.85
2014,16,Idaho,1634464,97353,5.96
2014,15,Hawaii,1419561,250272,17.63
2014,17,Illinois,12880580,1784403,13.85
2014,18,Indiana,6596855,319580,4.84
2014,19,Iowa,3107126,153321,4.93
2014,20,Kansas,2904021,204420,7.04
2014,21,Kentucky,4413457,162040,3.67
