District,Incumbent,Party,FiveThirtyEight Partisan Lean (2021 Version),FiveThirtyEight Partisan Lean (2020 Version),Cook PVI,Biden %,Trump %,2020 Pres. Margin,Clinton %,Trump %,2016 Pres. Margin,Obama %,Romney %,2012 Pres. Margin,Obama %,McCain %,2008 Pres. Margin,FiveThirtyEight Elasticity,Non-Hispanic White CVAP,Black CVAP,Hispanic CVAP,Asian CVAP,Median Household Income,% Bachelor's Degree or Higher (25+ Pop.),College-Educated Non-Hispanic White % (25+ Pop.),Non-College Non-Hispanic White % (25+ Pop.),Density Index
CA-20,"Panetta, Jimmy",D,D+44,D+41,D+23,73%,25%,48%,70%,23%,47%,71%,26%,45%,71%,26%,45%,1.03,53.6%,2.7%,34.5%,5.9%,"$66,078",27.4%,19.8%,24.9%,Urban-suburban mix
CA-21,"Valadao, David",R,D+9,D+9,D+5,54%,44%,11%,55%,40%,16%,55%,44%,11%,52%,46%,6%,1.03,27.8%,6.1%,60.0%,3.7%,"$40,330",8.2%,3.8%,18.0%,Rural-suburban mix
CA-22,,,R+11,R+17,R+8,46%,52%,-6%,43%,52%,-10%,42%,57%,-15%,42%,55%,-13%,0.96,49.9%,3.5%,37.1%,7.3%,"$56,097",24.2%,15.2%,31.6%,Dense suburban
CA-23,"McCarthy, Kevin",R,R+22,R+28,R+14,41%,57%,-17%,36%,58%,-22%,36%,62%,-25%,36%,61%,-25%,1.03,55.9%,6.8%,29.7%,4.5%,"$57,341",20.0%,12.8%,40.6%,Dense suburban
CA-24,"Carbajal, Salud",D,D+19,D+12,D+7,61%,37%,24%,57%,37%,20%,54%,43%,11%,56%,41%,15%,1.04,67.2%,2.2%,23.2%,4.5%,"$67,574",33.6%,27.2%,34.7%,Sparse suburban
CA-25,"Garcia, Mike",R,D+5,R+2,EVEN,54%,44%,10%,50%,44%,7%,48%,50%,-2%,49%,48%,1%,1.08,50.9%,8.5%,30.0%,7.8%,"$75,860",27.3%,15.8%,32.5%,Dense suburban
CA-26,"Brownley, Julia",D,D+20,D+13,D+7,61%,37%,25%,58%,36%,22%,54%,44%,10%,56%,41%,15%,1.24,56.0%,2.2%,32.8%,6.7%,"$80,281",32.8%,22.2%,28.1%,Dense suburban
CA-27,"Chu, Judy",D,D+33,D+29,D+16,67%,31%,36%,66%,28%,38%,63%,35%,28%,61%,35%,26%,0.97,32.3%,5.5%,24.7%,35.3%,"$73,445",41.9%,15.7%,13.1%,Urban-suburban mix
CA-28,"Schiff, Adam",D,D+42,D+43,D+23,71%,27%,44%,72%,22%,50%,70%,27%,44%,70%,26%,44%,0.90,61.7%,3.4%,19.9%,12.2%,"$62,319",45.2%,29.4%,29.2%,Pure urban
CA-29,"Cardenas, Tony",D,D+50,D+55,D+29,74%,24%,50%,78%,17%,61%,77%,21%,57%,74%,23%,51%,0.98,28.0%,5.5%,55.7%,9.2%,"$50,823",19.3%,7.9%,15.2%,Pure urban
